noise_sigma,strategy,win,seed,threshold_val,total_bytes_mbit,recall,med_latency,miss_rate
0.02,MGL,3,3,0.2,385.49,0.9985800496982605,0.0,0.0
0.02,MGL,5,3,0.2,385.49,0.9985800496982605,0.0,0.0
0.02,Binary,0,3,0.25,204.61,0.9261625843095491,0.0,0.0
0.02,Smooth,2,3,0.25,190.26000000000002,0.7933972310969116,0.0,0.002770083102493075
0.02,Smooth,3,3,0.25,179.69000000000003,0.7046503372381967,1.0,0.0
0.02,Smooth,5,3,0.25,166.39000000000001,0.549520766773163,2.0,0.12188365650969529
0.02,MGL,2,3,0.25,637.1475,0.9875754348597799,0.0,0.0
0.02,MGL,3,3,0.25,539.0075,0.9776357827476039,0.0,0.0
0.02,MGL,5,3,0.25,426.0975000000001,0.9584664536741214,0.0,0.0
0.02,Binary,0,3,0.30000000000000004,121.17000000000002,0.6137735179268725,0.0,0.04709141274238227
0.02,Smooth,2,3,0.30000000000000004,108.85000000000001,0.5097621583244586,1.0,0.11080332409972299
0.02,Smooth,3,3,0.30000000000000004,103.04,0.4487042953496628,1.0,0.15789473684210525
0.02,Smooth,5,3,0.30000000000000004,94.43,0.34114305999290023,2.0,0.3268698060941828
0.02,MGL,2,3,0.30000000000000004,417.7875,0.9112531061412851,0.0,0.0
0.02,MGL,3,3,0.30000000000000004,351.21750000000003,0.8544550940717075,0.0,0.038781163434903045
0.02,MGL,5,3,0.30000000000000004,272.7475,0.7699680511182109,0.0,0.04709141274238227
0.02,Binary,0,3,0.3500000000000001,76.09,0.3858714944976926,0.0,0.2299168975069252
0.02,Smooth,2,3,0.3500000000000001,67.9,0.3244586439474618,1.0,0.3878116343490305
0.02,Smooth,3,3,0.3500000000000001,65.38000000000001,0.2839900603478878,2.0,0.42382271468144045
0.02,Smooth,5,3,0.3500000000000001,59.080000000000005,0.20624778132765353,3.0,0.5207756232686981
0.02,MGL,2,3,0.3500000000000001,283.28000000000003,0.8189563365282215,1.0,0.0
0.02,MGL,3,3,0.3500000000000001,236.10000000000002,0.7330493432729854,0.0,0.09418282548476455
0.02,MGL,5,3,0.3500000000000001,180.73000000000002,0.6105786297479588,0.0,0.19113573407202217
0.02,Binary,0,3,0.4,53.27,0.2701455449059283,0.0,0.4182825484764543
0.02,Smooth,2,3,0.4,47.95,0.23109691160809373,1.0,0.5318559556786704
0.02,Smooth,3,3,0.4,46.13,0.20163294284700037,2.0,0.5401662049861495
0.02,Smooth,5,3,0.4,40.6,0.13880014199503019,3.0,0.6094182825484764
0.02,MGL,2,3,0.4,200.51500000000004,0.7355342563010294,2.0,0.0
0.02,MGL,3,3,0.4,168.10500000000002,0.6432374866879659,1.0,0.12465373961218837
0.02,MGL,5,3,0.4,126.73500000000001,0.4984025559105431,1.0,0.31024930747922436
0.02,Binary,0,3,0.45000000000000007,40.39,0.2048278310259141,1.0,0.5429362880886427
0.02,Smooth,2,3,0.45000000000000007,36.050000000000004,0.17607383741569044,1.0,0.6149584487534626
0.02,Smooth,3,3,0.45000000000000007,32.970000000000006,0.14696485623003194,2.0,0.6177285318559557
0.02,Smooth,5,3,0.45000000000000007,26.180000000000003,0.08484203052893148,3.0,0.6814404432132964
0.02,MGL,2,3,0.45000000000000007,150.26749999999998,0.6446574369897053,2.0,0.008310249307479225
0.02,MGL,3,3,0.45000000000000007,125.48750000000001,0.5431309904153354,3.0,0.1523545706371191
0.02,MGL,5,3,0.45000000000000007,92.93750000000001,0.4022009229676961,1.0,0.3961218836565097
0.02,Binary,0,3,0.5000000000000001,30.380000000000003,0.15406460773872915,1.0,0.6094182825484764
0.02,Smooth,2,3,0.5000000000000001,27.37,0.13383031593894212,1.0,0.6703601108033241
0.02,Smooth,3,3,0.5000000000000001,24.080000000000002,0.10720624778132766,2.0,0.6980609418282548
0.02,Smooth,5,3,0.5000000000000001,17.71,0.05608803691870785,3.0,0.7617728531855956
0.02,MGL,2,3,0.5000000000000001,111.36250000000001,0.518991835285765,2.0,0.08033240997229917
0.02,MGL,3,3,0.5000000000000001,91.13250000000001,0.4217252396166134,3.0,0.22160664819944598
0.02,MGL,5,3,0.5000000000000001,64.4625,0.2914447994320199,1.0,0.4709141274238227
0.02,Binary,0,3,0.55,24.220000000000002,0.12282570110046148,1.0,0.6703601108033241
0.02,Smooth,2,3,0.55,22.19,0.11004614838480653,1.0,0.7368421052631579
0.02,Smooth,3,3,0.55,18.970000000000002,0.08484203052893148,2.0,0.7451523545706371
0.02,Smooth,5,3,0.55,12.46,0.04117855875044373,3.0,0.814404432132964
0.02,MGL,2,3,0.55,84.2675,0.40291089811856584,2.0,0.23268698060941828
0.02,MGL,3,3,0.55,68.8675,0.3248136315228967,3.0,0.3545706371191136
0.02,MGL,5,3,0.55,48.7075,0.22293219737309194,1.0,0.5457063711911357
0.02,Binary,0,4,0.1,3378.34,1.0,0.0,0.0
0.02,Smooth,2,4,0.1,2081.2400000000002,1.0,0.0,0.0
0.02,Smooth,3,4,0.1,1850.1000000000001,0.9996450124245652,0.0,0.0
0.02,Smooth,5,4,0.1,1674.89,0.9737309194178204,0.0,0.0
0.02,MGL,2,4,0.1,3378.34,1.0,0.0,0.0
0.02,MGL,3,4,0.1,3378.34,1.0,0.0,0.0
0.02,MGL,5,4,0.1,3378.34,1.0,0.0,0.0
0.02,Binary,0,4,0.15000000000000002,936.46,1.0,0.0,0.0
0.02,Smooth,2,4,0.15000000000000002,723.3100000000001,0.9971600993965212,0.0,0.0
0.02,Smooth,3,4,0.15000000000000002,682.57,0.9627263045793397,0.0,0.0
0.02,Smooth,5,4,0.15000000000000002,631.2600000000001,0.8665246716364927,0.0,0.0
0.02,MGL,2,4,0.15000000000000002,936.46,1.0,0.0,0.0
0.02,MGL,3,4,0.15000000000000002,936.46,1.0,0.0,0.0
0.02,MGL,5,4,0.15000000000000002,936.46,1.0,0.0,0.0
0.02,Binary,0,4,0.2,386.12000000000006,0.9996450124245652,0.0,0.0
0.02,Smooth,2,4,0.2,347.76000000000005,0.954561590344338,0.0,0.0
0.02,Smooth,3,4,0.2,330.89000000000004,0.8697195598154065,0.0,0.0
0.02,Smooth,5,4,0.2,304.57000000000005,0.7408590699325523,1.0,0.0
0.02,MGL,2,4,0.2,386.12000000000006,0.9996450124245652,0.0,0.0
0.02,MGL,3,4,0.2,386.12000000000006,0.9996450124245652,0.0,0.0
0.02,MGL,5,4,0.2,386.12000000000006,0.9996450124245652,0.0,0.0
0.02,Binary,0,4,0.25,203.42000000000002,0.9282925097621584,0.0,0.0
0.02,Smooth,2,4,0.25,187.88000000000002,0.7831025914093007,0.0,0.0
0.02,Smooth,3,4,0.25,178.57000000000002,0.7018104366347178,1.0,0.0
0.02,Smooth,5,4,0.25,164.57000000000002,0.5445509407170749,2.0,0.10249307479224377
0.02,MGL,2,4,0.25,637.735,0.9868654597089102,0.0,0.0
0.02,MGL,3,4,0.25,537.845,0.9776357827476039,0.0,0.0
0.02,MGL,5,4,0.25,425.425,0.9637912673056444,0.0,0.0
