noise_sigma,strategy,win,seed,threshold_val,total_bytes_mbit,recall,med_latency,miss_rate
0.02,Binary,0,0,0.30000000000000004,8.260000000000002,0.370253164556962,0.0,0.09523809523809523
0.02,Smooth,2,0,0.30000000000000004,4.69,0.18670886075949367,1.0,0.19047619047619047
0.02,Smooth,3,0,0.30000000000000004,2.8000000000000003,0.10126582278481013,2.0,0.47619047619047616
0.02,Smooth,5,0,0.30000000000000004,0.8400000000000001,0.02531645569620253,3.0,0.8571428571428571
0.02,MGL,2,0,0.30000000000000004,67.19,0.7784810126582279,0.0,0.0
0.02,MGL,3,0,0.30000000000000004,48.50000000000001,0.6708860759493671,0.0,0.047619047619047616
0.02,MGL,5,0,0.30000000000000004,28.760000000000005,0.49683544303797467,0.0,0.09523809523809523
0.02,Binary,0,0,0.3500000000000001,2.45,0.11075949367088607,0.0,0.5714285714285714
0.02,Smooth,2,0,0.3500000000000001,0.8400000000000001,0.03481012658227848,1.0,0.7619047619047619
0.02,Smooth,3,0,0.3500000000000001,0.21000000000000002,0.00949367088607595,2.0,0.8571428571428571
0.02,Smooth,5,0,0.3500000000000001,0.0,0.0,,1.0
0.02,MGL,2,0,0.3500000000000001,33.24,0.5949367088607594,2.0,0.0
0.02,MGL,3,0,0.3500000000000001,22.740000000000006,0.47151898734177217,2.0,0.19047619047619047
0.02,MGL,5,0,0.3500000000000001,13.010000000000002,0.25,0.0,0.38095238095238093
0.02,Binary,0,0,0.4,0.7000000000000001,0.03164556962025317,0.0,0.7619047619047619
0.02,Smooth,2,0,0.4,0.0,0.0,,1.0
0.02,Smooth,3,0,0.4,0.0,0.0,,1.0
0.02,Smooth,5,0,0.4,0.0,0.0,,1.0
0.02,MGL,2,0,0.4,17.6075,0.4177215189873418,2.0,0.0
0.02,MGL,3,0,0.4,12.0075,0.3037974683544304,3.0,0.23809523809523808
0.02,MGL,5,0,0.4,6.967500000000001,0.14240506329113925,0.0,0.5714285714285714
0.02,Binary,0,0,0.45000000000000007,0.14,0.006329113924050633,,1.0
0.02,Smooth,2,0,0.45000000000000007,0.0,0.0,,1.0
0.02,Smooth,3,0,0.45000000000000007,0.0,0.0,,1.0
0.02,Smooth,5,0,0.45000000000000007,0.0,0.0,,1.0
0.02,MGL,2,0,0.45000000000000007,9.260000000000002,0.27848101265822783,2.0,0.0
0.02,MGL,3,0,0.45000000000000007,6.25,0.1930379746835443,3.0,0.2857142857142857
0.02,MGL,5,0,0.45000000000000007,3.8700000000000006,0.0949367088607595,5.0,0.8095238095238095
0.02,Binary,0,0,0.5000000000000001,0.0,0.0,,1.0
0.02,Smooth,2,0,0.5000000000000001,0.0,0.0,,1.0
0.02,Smooth,3,0,0.5000000000000001,0.0,0.0,,1.0
0.02,Smooth,5,0,0.5000000000000001,0.0,0.0,,1.0
0.02,MGL,2,0,0.5000000000000001,4.6375,0.15822784810126583,2.0,0.14285714285714285
0.02,MGL,3,0,0.5000000000000001,3.0975,0.0981012658227848,3.0,0.47619047619047616
0.02,MGL,5,0,0.5000000000000001,1.5575,0.028481012658227847,7.0,0.8571428571428571
0.02,Binary,0,0,0.55,0.0,0.0,,1.0
0.02,Smooth,2,0,0.55,0.0,0.0,,1.0
0.02,Smooth,3,0,0.55,0.0,0.0,,1.0
0.02,Smooth,5,0,0.55,0.0,0.0,,1.0
0.02,MGL,2,0,0.55,1.8075,0.060126582278481014,2.0,0.6190476190476191
0.02,MGL,3,0,0.55,1.1075000000000002,0.028481012658227847,3.0,0.8571428571428571
0.02,MGL,5,0,0.55,0.6875000000000001,0.00949367088607595,15.0,0.9523809523809523
0.02,Binary,0,1,0.1,1026.13,1.0,0.0,0.0
0.02,Smooth,2,1,0.1,616.7,1.0,0.0,0.0
0.02,Smooth,3,1,0.1,535.71,0.9968354430379747,0.0,0.0
0.02,Smooth,5,1,0.1,460.95000000000005,0.9367088607594937,0.0,0.0
