noise_sigma,strategy,win,seed,threshold_val,total_bytes_mbit,recall,med_latency,miss_rate
0.02,Binary,0,3,0.15000000000000002,243.25000000000003,1.0,0.0,0.0
0.02,Smooth,2,3,0.15000000000000002,171.15,0.9968354430379747,0.0,0.0
0.02,Smooth,3,3,0.15000000000000002,150.85000000000002,0.8987341772151899,0.0,0.0
0.02,Smooth,5,3,0.15000000000000002,121.17000000000002,0.7341772151898734,0.0,0.0
0.02,MGL,2,3,0.15000000000000002,243.25000000000003,1.0,0.0,0.0
0.02,MGL,3,3,0.15000000000000002,243.25000000000003,1.0,0.0,0.0
0.02,MGL,5,3,0.15000000000000002,243.25000000000003,1.0,0.0,0.0
0.02,Binary,0,3,0.2,70.14,1.0,0.0,0.0
0.02,Smooth,2,3,0.2,50.96000000000001,0.870253164556962,0.0,0.0
0.02,Smooth,3,3,0.2,42.35,0.689873417721519,0.0,0.0
0.02,Smooth,5,3,0.2,30.520000000000003,0.4525316455696203,1.0,0.0
0.02,MGL,2,3,0.2,70.14,1.0,0.0,0.0
0.02,MGL,3,3,0.2,70.14,1.0,0.0,0.0
0.02,MGL,5,3,0.2,70.14,1.0,0.0,0.0
0.02,Binary,0,3,0.25,23.94,0.8734177215189873,0.0,0.0
0.02,Smooth,2,3,0.25,17.290000000000003,0.5791139240506329,1.0,0.0
0.02,Smooth,3,3,0.25,13.370000000000001,0.4050632911392405,1.0,0.0
0.02,Smooth,5,3,0.25,8.47,0.22468354430379747,2.0,0.3333333333333333
0.02,MGL,2,3,0.25,131.995,0.9588607594936709,0.0,0.0
0.02,MGL,3,3,0.25,98.81500000000001,0.9335443037974683,0.0,0.0
0.02,MGL,5,3,0.25,65.215,0.8860759493670886,0.0,0.0
0.02,Binary,0,3,0.30000000000000004,8.05,0.36075949367088606,0.0,0.047619047619047616
0.02,Smooth,2,3,0.30000000000000004,4.2700000000000005,0.16772151898734178,1.0,0.3333333333333333
0.02,Smooth,3,3,0.30000000000000004,2.66,0.10759493670886076,2.0,0.42857142857142855
0.02,Smooth,5,3,0.30000000000000004,1.1900000000000002,0.04746835443037975,3.0,0.6666666666666666
0.02,MGL,2,3,0.30000000000000004,66.29,0.7563291139240507,0.0,0.0
0.02,MGL,3,3,0.30000000000000004,47.46000000000001,0.6487341772151899,0.0,0.047619047619047616
0.02,MGL,5,3,0.30000000000000004,29.190000000000005,0.46835443037974683,0.0,0.047619047619047616
0.02,Binary,0,3,0.3500000000000001,2.5200000000000005,0.11392405063291139,0.0,0.5238095238095238
0.02,Smooth,2,3,0.3500000000000001,0.9100000000000001,0.04113924050632911,1.0,0.7619047619047619
0.02,Smooth,3,3,0.3500000000000001,0.28,0.012658227848101266,2.0,0.8095238095238095
0.02,Smooth,5,3,0.3500000000000001,0.07,0.0031645569620253164,4.0,0.9523809523809523
0.02,MGL,2,3,0.3500000000000001,32.25750000000001,0.5727848101265823,2.0,0.0
0.02,MGL,3,3,0.3500000000000001,21.897500000000004,0.4272151898734177,0.0,0.23809523809523808
0.02,MGL,5,3,0.3500000000000001,13.0775,0.2468354430379747,0.0,0.38095238095238093
0.02,Binary,0,3,0.4,0.6300000000000001,0.028481012658227847,0.0,0.7619047619047619
0.02,Smooth,2,3,0.4,0.07,0.0031645569620253164,1.0,0.9523809523809523
0.02,Smooth,3,3,0.4,0.07,0.0031645569620253164,2.0,0.9523809523809523
0.02,Smooth,5,3,0.4,0.0,0.0,,1.0
0.02,MGL,2,3,0.4,16.202500000000004,0.3829113924050633,2.0,0.0
0.02,MGL,3,3,0.4,10.812500000000002,0.2689873417721519,3.0,0.23809523809523808
0.02,MGL,5,3,0.4,6.262500000000001,0.12341772151898735,0.0,0.5714285714285714
0.02,Binary,0,3,0.45000000000000007,0.21000000000000002,0.00949367088607595,0.0,0.8571428571428571
0.02,Smooth,2,3,0.45000000000000007,0.0,0.0,,1.0
0.02,Smooth,3,3,0.45000000000000007,0.0,0.0,,1.0
0.02,Smooth,5,3,0.45000000000000007,0.0,0.0,,1.0
0.02,MGL,2,3,0.45000000000000007,9.045000000000002,0.2974683544303797,2.0,0.0
0.02,MGL,3,3,0.45000000000000007,6.385000000000001,0.20253164556962025,3.0,0.2857142857142857
0.02,MGL,5,3,0.45000000000000007,4.005000000000001,0.10126582278481013,5.0,0.6666666666666666
0.02,Binary,0,3,0.5000000000000001,0.0,0.0,,1.0
0.02,Smooth,2,3,0.5000000000000001,0.0,0.0,,1.0
0.02,Smooth,3,3,0.5000000000000001,0.0,0.0,,1.0
0.02,Smooth,5,3,0.5000000000000001,0.0,0.0,,1.0
0.02,MGL,2,3,0.5000000000000001,5.055000000000001,0.18037974683544303,2.0,0.23809523809523808
0.02,MGL,3,3,0.5000000000000001,3.5150000000000006,0.11708860759493671,3.0,0.42857142857142855
0.02,MGL,5,3,0.5000000000000001,2.0450000000000004,0.05379746835443038,5.0,0.8571428571428571
0.02,Binary,0,3,0.55,0.0,0.0,,1.0
0.02,Smooth,2,3,0.55,0.0,0.0,,1.0
0.02,Smooth,3,3,0.55,0.0,0.0,,1.0
0.02,Smooth,5,3,0.55,0.0,0.0,,1.0
0.02,MGL,2,3,0.55,2.3275000000000006,0.08227848101265822,2.0,0.42857142857142855
0.02,MGL,3,3,0.55,1.4875000000000003,0.04430379746835443,3.0,0.8095238095238095
0.02,MGL,5,3,0.55,0.9975,0.022151898734177215,8.5,0.9047619047619048
0.02,Binary,0,4,0.1,1025.92,1.0,0.0,0.0
0.02,Smooth,2,4,0.1,625.0300000000001,1.0,0.0,0.0
0.02,Smooth,3,4,0.1,541.1,0.9968354430379747,0.0,0.0
0.02,Smooth,5,4,0.1,463.96000000000004,0.9335443037974683,0.0,0.0
0.02,MGL,2,4,0.1,1025.92,1.0,0.0,0.0
0.02,MGL,3,4,0.1,1025.92,1.0,0.0,0.0
0.02,MGL,5,4,0.1,1025.92,1.0,0.0,0.0
0.02,Binary,0,4,0.15000000000000002,244.37000000000003,1.0,0.0,0.0
0.02,Smooth,2,4,0.15000000000000002,171.99,0.9968354430379747,0.0,0.0
0.02,Smooth,3,4,0.15000000000000002,150.64000000000001,0.8829113924050633,0.0,0.0
0.02,Smooth,5,4,0.15000000000000002,121.87,0.7310126582278481,0.0,0.0
0.02,MGL,2,4,0.15000000000000002,244.37000000000003,1.0,0.0,0.0
0.02,MGL,3,4,0.15000000000000002,244.37000000000003,1.0,0.0,0.0
0.02,MGL,5,4,0.15000000000000002,244.37000000000003,1.0,0.0,0.0
0.02,Binary,0,4,0.2,69.16000000000001,0.9968354430379747,0.0,0.0
0.02,Smooth,2,4,0.2,52.080000000000005,0.8860759493670886,0.0,0.0
0.02,Smooth,3,4,0.2,43.330000000000005,0.7025316455696202,0.0,0.0
0.02,Smooth,5,4,0.2,31.92,0.4525316455696203,1.0,0.0
0.02,MGL,2,4,0.2,69.16000000000001,0.9968354430379747,0.0,0.0
0.02,MGL,3,4,0.2,69.16000000000001,0.9968354430379747,0.0,0.0
0.02,MGL,5,4,0.2,69.16000000000001,0.9968354430379747,0.0,0.0
0.02,Binary,0,4,0.25,24.01,0.879746835443038,0.0,0.0
0.02,Smooth,2,4,0.25,18.270000000000003,0.5886075949367089,0.0,0.0
0.02,Smooth,3,4,0.25,14.770000000000001,0.41455696202531644,1.0,0.0
0.02,Smooth,5,4,0.25,8.82,0.22151898734177214,2.0,0.2857142857142857
0.02,MGL,2,4,0.25,133.7675,0.9525316455696202,0.0,0.0
0.02,MGL,3,4,0.25,99.81750000000001,0.9335443037974683,0.0,0.0
0.02,MGL,5,4,0.25,66.28750000000001,0.8955696202531646,0.0,0.0
0.02,Binary,0,4,0.30000000000000004,8.260000000000002,0.370253164556962,0.0,0.09523809523809523
0.02,Smooth,2,4,0.30000000000000004,4.62,0.18670886075949367,1.0,0.2857142857142857
0.02,Smooth,3,4,0.30000000000000004,2.24,0.08860759493670886,2.0,0.5238095238095238
0.02,Smooth,5,4,0.30000000000000004,0.9100000000000001,0.03481012658227848,3.0,0.7619047619047619
0.02,MGL,2,4,0.30000000000000004,68.63250000000001,0.7974683544303798,0.0,0.0
0.02,MGL,3,4,0.30000000000000004,49.24250000000001,0.680379746835443,0.0,0.09523809523809523
0.02,MGL,5,4,0.30000000000000004,29.5725,0.5063291139240507,0.0,0.09523809523809523
0.02,Binary,0,4,0.3500000000000001,1.9600000000000002,0.08860759493670886,0.0,0.47619047619047616
0.02,Smooth,2,4,0.3500000000000001,0.7000000000000001,0.03164556962025317,1.0,0.7619047619047619
0.02,Smooth,3,4,0.3500000000000001,0.21000000000000002,0.00949367088607595,2.0,0.8571428571428571
0.02,Smooth,5,4,0.3500000000000001,0.0,0.0,,1.0
0.02,MGL,2,4,0.3500000000000001,33.837500000000006,0.5791139240506329,2.0,0.0
0.02,MGL,3,4,0.3500000000000001,22.917500000000004,0.41455696202531644,0.0,0.23809523809523808
0.02,MGL,5,4,0.3500000000000001,13.117500000000003,0.22784810126582278,0.0,0.2857142857142857
0.02,Binary,0,4,0.4,0.9100000000000001,0.04113924050632911,0.0,0.6666666666666666
0.02,Smooth,2,4,0.4,0.0,0.0,,1.0
0.02,Smooth,3,4,0.4,0.0,0.0,,1.0
0.02,Smooth,5,4,0.4,0.0,0.0,,1.0
0.02,MGL,2,4,0.4,17.4875,0.4240506329113924,2.0,0.047619047619047616
0.02,MGL,3,4,0.4,11.6775,0.2911392405063291,3.0,0.2857142857142857
0.02,MGL,5,4,0.4,6.987500000000001,0.1550632911392405,0.0,0.47619047619047616
0.02,Binary,0,4,0.45000000000000007,0.07,0.0031645569620253164,0.0,0.9523809523809523
0.02,Smooth,2,4,0.45000000000000007,0.0,0.0,,1.0
0.02,Smooth,3,4,0.45000000000000007,0.0,0.0,,1.0
