dd_tau,noise_sigma,strategy,seed,threshold_val,total_bytes_mbit,recall
0.15,0.05,MGL,4,0.5000000000000001,5.74,0.16139240506329114
0.15,0.05,Binary,4,0.55,0.0,0.0
0.15,0.05,MGL,4,0.55,2.4025000000000003,0.06645569620253164
0.15,0.05,Binary,5,0.1,2043.8600000000001,1.0
0.15,0.05,MGL,5,0.1,2043.8600000000001,1.0
0.15,0.05,Binary,5,0.15000000000000002,566.0200000000001,1.0
0.15,0.05,MGL,5,0.15000000000000002,982.6050000000002,1.0
0.15,0.05,Binary,5,0.2,143.15,0.930379746835443
0.15,0.05,MGL,5,0.2,366.8525,0.9841772151898734
0.15,0.05,Binary,5,0.25,41.790000000000006,0.7310126582278481
0.15,0.05,MGL,5,0.25,162.28000000000003,0.8987341772151899
0.15,0.05,Binary,5,0.30000000000000004,12.180000000000001,0.40822784810126583
0.15,0.05,MGL,5,0.30000000000000004,82.29,0.7816455696202531
0.15,0.05,Binary,5,0.3500000000000001,3.6400000000000006,0.1550632911392405
0.15,0.05,MGL,5,0.3500000000000001,39.655,0.569620253164557
0.15,0.05,Binary,5,0.4,1.12,0.05063291139240506
0.15,0.05,MGL,5,0.4,19.842500000000005,0.3924050632911392
0.15,0.05,Binary,5,0.45000000000000007,0.35000000000000003,0.015822784810126583
0.15,0.05,MGL,5,0.45000000000000007,11.190000000000001,0.25316455696202533
0.15,0.05,Binary,5,0.5000000000000001,0.0,0.0
0.15,0.05,MGL,5,0.5000000000000001,4.9225,0.12974683544303797
0.15,0.05,Binary,5,0.55,0.0,0.0
0.15,0.05,MGL,5,0.55,1.8450000000000002,0.04430379746835443
0.15,0.05,Binary,6,0.1,2043.5800000000002,1.0
0.15,0.05,MGL,6,0.1,2043.5800000000002,1.0
0.15,0.05,Binary,6,0.15000000000000002,560.35,0.9873417721518988
0.15,0.05,MGL,6,0.15000000000000002,981.4625000000001,1.0
0.15,0.05,Binary,6,0.2,143.08,0.930379746835443
0.15,0.05,MGL,6,0.2,369.71500000000003,0.9841772151898734
0.15,0.05,Binary,6,0.25,39.900000000000006,0.7436708860759493
0.15,0.05,MGL,6,0.25,165.35250000000002,0.9208860759493671
0.15,0.05,Binary,6,0.30000000000000004,12.32,0.41455696202531644
0.15,0.05,MGL,6,0.30000000000000004,81.3125,0.7563291139240507
0.15,0.05,Binary,6,0.3500000000000001,4.340000000000001,0.1962025316455696
0.15,0.05,MGL,6,0.3500000000000001,41.39000000000001,0.5791139240506329
0.15,0.05,Binary,6,0.4,1.7500000000000002,0.07911392405063292
0.15,0.05,MGL,6,0.4,21.2875,0.41455696202531644
0.15,0.05,Binary,6,0.45000000000000007,0.42000000000000004,0.0189873417721519
0.15,0.05,MGL,6,0.45000000000000007,11.165000000000001,0.27531645569620256
0.15,0.05,Binary,6,0.5000000000000001,0.07,0.0031645569620253164
0.15,0.05,MGL,6,0.5000000000000001,4.782500000000001,0.12341772151898735
0.15,0.05,Binary,6,0.55,0.0,0.0
0.15,0.05,MGL,6,0.55,2.0225000000000004,0.04746835443037975
0.15,0.05,Binary,7,0.1,2021.6000000000001,1.0
0.15,0.05,MGL,7,0.1,2021.6000000000001,1.0
0.15,0.05,Binary,7,0.15000000000000002,554.19,0.9968354430379747
0.15,0.05,MGL,7,0.15000000000000002,971.7225000000001,1.0
0.15,0.05,Binary,7,0.2,139.44000000000003,0.939873417721519
0.15,0.05,MGL,7,0.2,369.4100000000001,0.990506329113924
0.15,0.05,Binary,7,0.25,41.160000000000004,0.7879746835443038
0.15,0.05,MGL,7,0.25,165.20500000000004,0.9335443037974683
0.15,0.05,Binary,7,0.30000000000000004,13.090000000000002,0.43670886075949367
0.15,0.05,MGL,7,0.30000000000000004,82.67500000000001,0.7848101265822784
0.15,0.05,Binary,7,0.3500000000000001,4.2,0.18354430379746836
0.15,0.05,MGL,7,0.3500000000000001,39.612500000000004,0.5664556962025317
0.15,0.05,Binary,7,0.4,1.4000000000000001,0.060126582278481014
0.15,0.05,MGL,7,0.4,21.310000000000002,0.37658227848101267
0.15,0.05,Binary,7,0.45000000000000007,0.28,0.012658227848101266
0.15,0.05,MGL,7,0.45000000000000007,11.012500000000001,0.2563291139240506
0.15,0.05,Binary,7,0.5000000000000001,0.07,0.0031645569620253164
0.15,0.05,MGL,7,0.5000000000000001,5.4575000000000005,0.13291139240506328
0.15,0.05,Binary,7,0.55,0.0,0.0
0.15,0.05,MGL,7,0.55,2.2675,0.056962025316455694
0.15,0.05,Binary,8,0.1,2043.65,1.0
0.15,0.05,MGL,8,0.1,2043.65,1.0
0.15,0.05,Binary,8,0.15000000000000002,558.11,0.990506329113924
0.15,0.05,MGL,8,0.15000000000000002,986.44,1.0
0.15,0.05,Binary,8,0.2,146.37,0.9367088607594937
0.15,0.05,MGL,8,0.2,377.23,0.9841772151898734
0.15,0.05,Binary,8,0.25,41.230000000000004,0.7215189873417721
