part,param,noise_sigma,strategy,seed,threshold_val,total_bytes_mbit,recall
A,rho=0.0,0.02,MGL,5,0.15000000000000002,241.08,1.0
A,rho=0.0,0.02,Binary,5,0.2,69.30000000000001,1.0
A,rho=0.0,0.02,MGL,5,0.2,69.30000000000001,1.0
A,rho=0.0,0.02,Binary,5,0.25,23.380000000000003,0.8386075949367089
A,rho=0.0,0.02,MGL,5,0.25,135.04000000000002,0.9683544303797469
A,rho=0.0,0.02,Binary,5,0.30000000000000004,8.47,0.3829113924050633
A,rho=0.0,0.02,MGL,5,0.30000000000000004,66.1275,0.7721518987341772
A,rho=0.0,0.02,Binary,5,0.3500000000000001,2.1700000000000004,0.0981012658227848
A,rho=0.0,0.02,MGL,5,0.3500000000000001,32.510000000000005,0.5822784810126582
A,rho=0.0,0.02,Binary,5,0.4,0.6300000000000001,0.028481012658227847
A,rho=0.0,0.02,MGL,5,0.4,16.872500000000002,0.4177215189873418
A,rho=0.0,0.02,Binary,5,0.45000000000000007,0.14,0.006329113924050633
A,rho=0.0,0.02,MGL,5,0.45000000000000007,9.475000000000001,0.27531645569620256
A,rho=0.0,0.02,Binary,5,0.5000000000000001,0.0,0.0
A,rho=0.0,0.02,MGL,5,0.5000000000000001,4.965000000000001,0.17405063291139242
A,rho=0.0,0.02,Binary,5,0.55,0.0,0.0
A,rho=0.0,0.02,MGL,5,0.55,2.2325000000000004,0.07911392405063292
A,rho=0.0,0.02,Binary,6,0.1,1037.4,1.0
A,rho=0.0,0.02,MGL,6,0.1,1037.4,1.0
A,rho=0.0,0.02,Binary,6,0.15000000000000002,238.77,1.0
A,rho=0.0,0.02,MGL,6,0.15000000000000002,238.77,1.0
A,rho=0.0,0.02,Binary,6,0.2,71.19000000000001,1.0
A,rho=0.0,0.02,MGL,6,0.2,71.19000000000001,1.0
A,rho=0.0,0.02,Binary,6,0.25,24.080000000000002,0.8449367088607594
A,rho=0.0,0.02,MGL,6,0.25,134.4375,0.9651898734177216
A,rho=0.0,0.02,Binary,6,0.30000000000000004,7.700000000000001,0.34810126582278483
A,rho=0.0,0.02,MGL,6,0.30000000000000004,68.1025,0.7879746835443038
A,rho=0.0,0.02,Binary,6,0.3500000000000001,2.66,0.12025316455696203
A,rho=0.0,0.02,MGL,6,0.3500000000000001,32.745000000000005,0.5664556962025317
A,rho=0.0,0.02,Binary,6,0.4,0.6300000000000001,0.028481012658227847
A,rho=0.0,0.02,MGL,6,0.4,17.290000000000003,0.4430379746835443
A,rho=0.0,0.02,Binary,6,0.45000000000000007,0.21000000000000002,0.00949367088607595
A,rho=0.0,0.02,MGL,6,0.45000000000000007,8.672500000000001,0.2721518987341772
A,rho=0.0,0.02,Binary,6,0.5000000000000001,0.0,0.0
