noise_sigma,n_persist,strategy,seed,threshold_id,threshold_val,total_bytes_mbit,recall
0.02,2,MGL,5,4,0.30000000000000004,66.1275,0.7721518987341772
0.02,3,MGL,5,4,0.30000000000000004,47.64750000000001,0.6772151898734177
0.02,5,MGL,5,4,0.30000000000000004,29.3075,0.509493670886076
0.02,0,Binary,5,5,0.3500000000000001,2.1700000000000004,0.0981012658227848
0.02,2,MGL,5,5,0.3500000000000001,32.510000000000005,0.5822784810126582
0.02,3,MGL,5,5,0.3500000000000001,22.360000000000003,0.43354430379746833
0.02,5,MGL,5,5,0.3500000000000001,12.770000000000001,0.23417721518987342
0.02,0,Binary,5,6,0.4,0.6300000000000001,0.028481012658227847
0.02,2,MGL,5,6,0.4,16.872500000000002,0.4177215189873418
0.02,3,MGL,5,6,0.4,11.342500000000003,0.28164556962025317
0.02,5,MGL,5,6,0.4,6.372500000000001,0.13924050632911392
0.02,0,Binary,5,7,0.45000000000000007,0.14,0.006329113924050633
0.02,2,MGL,5,7,0.45000000000000007,9.475000000000001,0.27531645569620256
0.02,3,MGL,5,7,0.45000000000000007,6.255000000000001,0.18354430379746836
0.02,5,MGL,5,7,0.45000000000000007,3.8050000000000006,0.0981012658227848
0.02,0,Binary,5,8,0.5000000000000001,0.0,0.0
0.02,2,MGL,5,8,0.5000000000000001,4.965000000000001,0.17405063291139242
0.02,3,MGL,5,8,0.5000000000000001,3.705,0.12025316455696203
0.02,5,MGL,5,8,0.5000000000000001,2.3050000000000006,0.06329113924050633
0.02,0,Binary,5,9,0.55,0.0,0.0
0.02,2,MGL,5,9,0.55,2.2325000000000004,0.07911392405063292
0.02,3,MGL,5,9,0.55,1.3925000000000003,0.04113924050632911
0.02,5,MGL,5,9,0.55,0.7625000000000002,0.012658227848101266
0.02,0,Binary,6,0,0.1,1037.4,1.0
0.02,2,MGL,6,0,0.1,1037.4,1.0
0.02,3,MGL,6,0,0.1,1037.4,1.0
0.02,5,MGL,6,0,0.1,1037.4,1.0
0.02,0,Binary,6,1,0.15000000000000002,238.77,1.0
0.02,2,MGL,6,1,0.15000000000000002,238.77,1.0
0.02,3,MGL,6,1,0.15000000000000002,238.77,1.0
0.02,5,MGL,6,1,0.15000000000000002,238.77,1.0
0.02,0,Binary,6,2,0.2,71.19000000000001,1.0
0.02,2,MGL,6,2,0.2,71.19000000000001,1.0
0.02,3,MGL,6,2,0.2,71.19000000000001,1.0
0.02,5,MGL,6,2,0.2,71.19000000000001,1.0
0.02,0,Binary,6,3,0.25,24.080000000000002,0.8449367088607594
0.02,2,MGL,6,3,0.25,134.4375,0.9651898734177216
0.02,3,MGL,6,3,0.25,100.20750000000001,0.9272151898734177
0.02,5,MGL,6,3,0.25,66.39750000000001,0.8892405063291139
0.02,0,Binary,6,4,0.30000000000000004,7.700000000000001,0.34810126582278483
0.02,2,MGL,6,4,0.30000000000000004,68.1025,0.7879746835443038
0.02,3,MGL,6,4,0.30000000000000004,49.062500000000014,0.6740506329113924
0.02,5,MGL,6,4,0.30000000000000004,28.762500000000003,0.5
0.02,0,Binary,6,5,0.3500000000000001,2.66,0.12025316455696203
0.02,2,MGL,6,5,0.3500000000000001,32.745000000000005,0.5664556962025317
0.02,3,MGL,6,5,0.3500000000000001,21.965,0.41139240506329117
0.02,5,MGL,6,5,0.3500000000000001,12.445,0.25
0.02,0,Binary,6,6,0.4,0.6300000000000001,0.028481012658227847
0.02,2,MGL,6,6,0.4,17.290000000000003,0.4430379746835443
0.02,3,MGL,6,6,0.4,11.410000000000004,0.3069620253164557
0.02,5,MGL,6,6,0.4,6.580000000000001,0.14873417721518986
0.02,0,Binary,6,7,0.45000000000000007,0.21000000000000002,0.00949367088607595
0.02,2,MGL,6,7,0.45000000000000007,8.672500000000001,0.2721518987341772
0.02,3,MGL,6,7,0.45000000000000007,6.2225,0.1962025316455696
0.02,5,MGL,6,7,0.45000000000000007,3.7025000000000006,0.09177215189873418
0.02,0,Binary,6,8,0.5000000000000001,0.0,0.0
0.02,2,MGL,6,8,0.5000000000000001,4.430000000000001,0.1550632911392405
0.02,3,MGL,6,8,0.5000000000000001,2.8900000000000006,0.08860759493670886
0.02,5,MGL,6,8,0.5000000000000001,1.3500000000000003,0.022151898734177215
0.02,0,Binary,6,9,0.55,0.0,0.0
0.02,2,MGL,6,9,0.55,1.9675000000000002,0.06645569620253164
0.02,3,MGL,6,9,0.55,1.1975000000000002,0.03164556962025317
0.02,5,MGL,6,9,0.55,0.4975000000000001,0.0
0.02,0,Binary,7,0,0.1,1022.2800000000001,1.0
0.02,2,MGL,7,0,0.1,1022.2800000000001,1.0
0.02,3,MGL,7,0,0.1,1022.2800000000001,1.0
0.02,5,MGL,7,0,0.1,1022.2800000000001,1.0
0.02,0,Binary,7,1,0.15000000000000002,240.52,1.0
0.02,2,MGL,7,1,0.15000000000000002,240.52,1.0
0.02,3,MGL,7,1,0.15000000000000002,240.52,1.0
0.02,5,MGL,7,1,0.15000000000000002,240.52,1.0
0.02,0,Binary,7,2,0.2,67.83000000000001,1.0
0.02,2,MGL,7,2,0.2,67.83000000000001,1.0
0.02,3,MGL,7,2,0.2,67.83000000000001,1.0
0.02,5,MGL,7,2,0.2,67.83000000000001,1.0
0.02,0,Binary,7,3,0.25,23.310000000000002,0.8670886075949367
0.02,2,MGL,7,3,0.25,133.5875,0.9683544303797469
0.02,3,MGL,7,3,0.25,98.7275,0.9430379746835443
0.02,5,MGL,7,3,0.25,66.1075,0.9018987341772152
0.02,0,Binary,7,4,0.30000000000000004,8.33,0.37341772151898733
0.02,2,MGL,7,4,0.30000000000000004,67.8625,0.7911392405063291
0.02,3,MGL,7,4,0.30000000000000004,48.12250000000001,0.6867088607594937
0.02,5,MGL,7,4,0.30000000000000004,29.152500000000003,0.4873417721518987
0.02,0,Binary,7,5,0.3500000000000001,2.31,0.10443037974683544
0.02,2,MGL,7,5,0.3500000000000001,33.627500000000005,0.5569620253164557
0.02,3,MGL,7,5,0.3500000000000001,22.427500000000002,0.41455696202531644
0.02,5,MGL,7,5,0.3500000000000001,12.977500000000003,0.23417721518987342
0.02,0,Binary,7,6,0.4,0.7000000000000001,0.03164556962025317
0.02,2,MGL,7,6,0.4,17.1675,0.41139240506329117
0.02,3,MGL,7,6,0.4,11.4975,0.27848101265822783
0.02,5,MGL,7,6,0.4,6.6675,0.14556962025316456
0.02,0,Binary,7,7,0.45000000000000007,0.07,0.0031645569620253164
0.02,2,MGL,7,7,0.45000000000000007,9.557500000000001,0.27848101265822783
0.02,3,MGL,7,7,0.45000000000000007,6.687500000000001,0.189873417721519
0.02,5,MGL,7,7,0.45000000000000007,4.3075,0.10126582278481013
0.02,0,Binary,7,8,0.5000000000000001,0.0,0.0
0.02,2,MGL,7,8,0.5000000000000001,4.892500000000001,0.17721518987341772
0.02,3,MGL,7,8,0.5000000000000001,3.3525000000000005,0.10759493670886076
0.02,5,MGL,7,8,0.5000000000000001,1.8825000000000003,0.04746835443037975
0.02,0,Binary,7,9,0.55,0.0,0.0
0.02,2,MGL,7,9,0.55,1.6425,0.05063291139240506
0.02,3,MGL,7,9,0.55,0.8725,0.015822784810126583
0.02,5,MGL,7,9,0.55,0.5225000000000001,0.0
0.02,0,Binary,8,0,0.1,1030.26,1.0
0.02,2,MGL,8,0,0.1,1030.26,1.0
0.02,3,MGL,8,0,0.1,1030.26,1.0
0.02,5,MGL,8,0,0.1,1030.26,1.0
0.02,0,Binary,8,1,0.15000000000000002,242.41000000000003,1.0
0.02,2,MGL,8,1,0.15000000000000002,242.41000000000003,1.0
0.02,3,MGL,8,1,0.15000000000000002,242.41000000000003,1.0
0.02,5,MGL,8,1,0.15000000000000002,242.41000000000003,1.0
0.02,0,Binary,8,2,0.2,69.58000000000001,1.0
0.02,2,MGL,8,2,0.2,69.58000000000001,1.0
0.02,3,MGL,8,2,0.2,69.58000000000001,1.0
0.02,5,MGL,8,2,0.2,69.58000000000001,1.0
0.02,0,Binary,8,3,0.25,23.450000000000003,0.8607594936708861
0.02,2,MGL,8,3,0.25,135.71,0.9683544303797469
